ownerName,ownershipStatus,dataConfidenceTier,dataConfidenceScore,actionabilityGate,recordCount,protectedIpCount,legalOwnerRecordCount,breederSignalRecordCount,relevantIpRecordCount,isCompanyProfile,isParentRollup,entityLikeName,publicOrgName,companyWebsite,companyContactUrl,topCrops,topJurisdictions,candidateParent,candidateParentBasis,candidateParentEvidenceUrl,rawEvidenceRoles,rawEvidenceExamples,confidenceReasons,auditIssues,recommendedNextStep
Guido Cipriani,breeder_only_signal,unverified,0,holder_verification_required,84,61,0,84,84,False,False,False,False,,,Grape 54 | Kiwifruit 30,QZ 31 | US 25 | BR 12 | CA 6,,,,cpvoBreeder:64,CPVO: 2026-05-26 - Kiwifruit - AC 459 011 - 2553 (cpvoBreeder) | CPVO: 2026-03-10 - Kiwifruit - AC 497 076 - 218060000902026 (cpvoBreeder) | CPVO: 2026-02-27 - Kiwifruit - AC 501 022 - 218060000802026 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Eremin Gennadij VIKTOROVICh,breeder_only_signal,unverified,0,holder_verification_required,107,39,0,107,64,False,False,False,False,,,Plum 42 | Prunus 40 | Peach 6 | Apple 6,RU 107,,,,cpvoBreeder:107,CPVO: 2019-12-26 - Plum - VENGERKA NOVAYa - 59116 (cpvoBreeder) | CPVO: 2019-12-26 - Plum - KUBANSKAYa YuBILEJNAYa - 60528 (cpvoBreeder) | CPVO: 2019-12-26 - Cherry-Sweet - KAMELIYa - 53616 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Kalinina Ida Pavlovna,breeder_only_signal,unverified,0,holder_verification_required,106,23,0,106,65,False,False,False,False,,,Apple 50 | Currant-Black 26 | Raspberry 8 | Prunus 7,RU 106,,,,cpvoBreeder:97,CPVO: 2020-05-21 - Currant-Black - BARITON - 79055 (cpvoBreeder) | CPVO: 2019-03-06 - Currant-Black - BARITON - 54084 (cpvoBreeder) | CPVO: 2017-11-29 - Currant-Black - YuBILEJNAYa LISAVENKO - 74327 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Smykov Vladimir KARPOVICh,breeder_only_signal,unverified,0,holder_verification_required,97,46,0,97,97,False,False,False,False,,,Peach 72 | Apricot 20 | Nectarine 3 | Apple 2,RU 97,,,,cpvoBreeder:97,CPVO: 2018-11-23 - Apricot - AL'TAIR - 66772 (cpvoBreeder) | CPVO: 2018-01-15 - Apricot - BOYaRIN - 74998 (cpvoBreeder) | CPVO: 2017-07-13 - Apricot - YuZhANIN - 66776 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Perfil'Eva ZOYa Nikolaevna,breeder_only_signal,unverified,0,holder_verification_required,96,45,0,96,95,False,False,False,False,,,Peach 67 | Apple 13 | Plum 9 | Pear 6,RU 96,,,,cpvoBreeder:67,CPVO: 2017-07-13 - Peach - SOPRANO - 66796 (cpvoBreeder) | CPVO: 2017-05-16 - Peach - STRELETS - 66794 (cpvoBreeder) | CPVO: 2017-04-25 - Peach - PODAROK LIKE - 66813 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Kazakov Ivan VASIL'EVICh,breeder_only_signal,unverified,0,holder_verification_required,91,47,0,91,73,False,False,False,False,,,Raspberry 68 | Currant-Black 18 | Kiwifruit 4 | Apple 1,RU 91,,,,cpvoBreeder:86,CPVO: 2019-12-26 - Currant-Black - DEBRYaNSK - 47102 (cpvoBreeder) | CPVO: 2019-09-06 - Raspberry - NIKA - 78750 (cpvoBreeder) | CPVO: 2017-02-28 - Raspberry - POKLON KAZAKOVU - 60860 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Kopan` Kira Mykolaivna,breeder_only_signal,unverified,0,holder_verification_required,85,39,0,85,80,False,False,False,False,,,Apple 33 | Strawberry 27 | Peach 11 | Apricot 6,UA 85,,,,cpvoBreeder:60,CPVO: 2022-12-31 - Currant-Black - Yednist - 22297001 (cpvoBreeder) | CPVO: 2022-12-31 - Currant-Black - Debiut - 22297004 (cpvoBreeder) | CPVO: 2019-11-14 - Apple - Dozhnytsia - 18263001 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Tulaieva Maiia Ivanivna,breeder_only_signal,unverified,0,holder_verification_required,83,47,0,83,77,False,False,False,False,,,Grape 65 | Cherry-Sweet 8 | Cherry-Tart 6 | Plum 4,UA 83,,,,cpvoBreeder:56,CPVO: 2021-01-28 - Grape - Kobera 5BB 9191 - 19304006 (cpvoBreeder) | CPVO: 2021-01-28 - Grape - Kobera 5BB 211161 - 19304007 (cpvoBreeder) | CPVO: 2021-01-28 - Grape - Berlandiieri Kh Rypariia Kobera 5 BB 9191 - 19304006 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Amado Q. Amorao,breeder_only_signal,unverified,0,holder_verification_required,80,43,0,80,80,False,False,False,False,,,Strawberry 80,US 30 | MX 24 | QZ 22 | HU 2,,,,cpvoBreeder:52,CPVO: 2009-06-09 - Strawberry - Driscoll Sisquoc - 2008279 (cpvoBreeder) | CPVO: 2009-06-09 - Strawberry - DrisStrawOne - 2008279 (cpvoBreeder) | CPVO: 2008-12-17 - Strawberry - Driscoll Ojai - 20060224 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Laskavyi Viktor Volodymyrovych,breeder_only_signal,unverified,0,holder_verification_required,76,36,0,76,64,False,False,False,False,,,Plum 23 | Cherry-Sweet 23 | Grape 18 | Cherry-Tart 12,UA 76,,,,cpvoBreeder:58,CPVO: 2024-02-28 - Plum - Virazh - 18261001 (cpvoBreeder) | CPVO: 2024-02-28 - Cherry-Sweet - Soniachna mliivska - 18262001 (cpvoBreeder) | CPVO: 2024-02-28 - Cherry-Sweet - Schedrist` - 15262001 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Majstrenko LYuDMILA Alekseevna,breeder_only_signal,unverified,0,holder_verification_required,76,49,0,76,71,False,False,False,False,,,Grape 67 | Currant 5 | Apricot 2 | Cherry-Sweet 1,RU 76,,,,cpvoBreeder:67,CPVO: 2020-05-28 - Grape - PRESTIZh - 67300 (cpvoBreeder) | CPVO: 2020-05-21 - Grape - VOSTOChNYJ - 61213 (cpvoBreeder) | CPVO: 2020-05-21 - Grape - LEDYaNOJ - 66192 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Jose Martin Charlez Martinez,breeder_only_signal,unverified,0,holder_verification_required,75,36,0,75,75,False,False,False,False,,,Peach 69 | Apricot 4 | Plum 2,ES 69 | QZ 6,,,,cpvoBreeder:67,CPVO: 2019-07-27 - Peach - NETIX 28 - 20145133 (cpvoBreeder) | CPVO: 2019-07-27 - Peach - HIT69 - 20145133 (cpvoBreeder) | CPVO: 2019-02-05 - Peach - VIFNB 1 64 - 20145132 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Joseph C. Goffreda,breeder_only_signal,unverified,0,holder_verification_required,74,25,0,74,74,False,False,False,False,,,Peach 34 | Apricot 16 | Apple 11 | Nectarine 7,US 61 | QZ 4 | NZ 2 | FR 2,,,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP35394,breeder:11 | inventor:11,"USPTO: 2023-09-26 - Peach - NJ362 - USPP 35,394 (breeder, inventor) | USPTO: 2021-10-12 - Apple - NJ150 - USPP 33,546 (breeder, inventor) | USPTO: 2021-09-14 - Peach - NJ360 - USPP 33,473 (breeder, inventor)",protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Bernardini Danilo,breeder_only_signal,unverified,0,holder_verification_required,55,36,0,55,55,False,False,False,False,,,Strawberry 55,UA 30 | QZ 16 | RU 4 | CH 3,,,,cpvoBreeder:49,CPVO: 2023-11-29 - Strawberry - SANDRINA - 21294004 (cpvoBreeder) | CPVO: 2023-11-29 - Strawberry - FEDERIKA - 21294002 (cpvoBreeder) | CPVO: 2023-11-29 - Strawberry - ARIANNA - 21294003 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Perl Avichai,breeder_only_signal,unverified,0,holder_verification_required,52,42,0,52,52,False,False,False,False,,,Grape 52,IL 28 | QZ 10 | US 10 | GB 3,,,,cpvoBreeder:39,CPVO: 2023-07-26 - Grape - VARO218 - 4874 (cpvoBreeder) | CPVO: 2023-07-26 - Grape - SADI - 4878 (cpvoBreeder) | CPVO: 2021-12-12 - Grape - VARO223 - 4871 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Dutova LIDIYa Ivanovna,breeder_only_signal,unverified,0,holder_verification_required,89,40,0,89,71,False,False,False,False,,,Apple 67 | Currant-Black 11 | Apricot 3 | Cherry-Tart 3,RU 89,,,,cpvoBreeder:42,CPVO: 2019-12-26 - Apple - FEYa - 47916 (cpvoBreeder) | CPVO: 2019-08-08 - Apple - SOYuZ - 78519 (cpvoBreeder) | CPVO: 2019-03-06 - Apple - SOYuZ - 51249 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Smykov Volodymyr Karpovych,breeder_only_signal,unverified,0,holder_verification_required,83,42,0,83,83,False,False,False,False,,,Peach 63 | Apricot 18 | Nectarine 2,UA 83,,,,cpvoBreeder:83,CPVO: 2011-01-05 - Apricot - Mahistr - 11070001 (cpvoBreeder) | CPVO: 2011-01-05 - Apricot - Mahistr - 11070001 (cpvoBreeder) | CPVO: 2011-01-05 - Nectarine - Krymchanin - 11396002 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Mahno LYuBOV' Vasil'Evna,breeder_only_signal,unverified,0,holder_verification_required,80,40,0,80,68,False,False,False,False,,,Apple 46 | Grape 11 | Cherry-Tart 9 | Pear 7,RU 80,,,,cpvoBreeder:30,CPVO: 2019-12-26 - Apple - FEYa - 47916 (cpvoBreeder) | CPVO: 2019-08-08 - Apple - SOYuZ - 78519 (cpvoBreeder) | CPVO: 2019-03-06 - Apple - SOYuZ - 51249 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Pepinieres Valla Georges Scea,breeder_only_signal,unverified,0,holder_verification_required,78,28,0,78,78,False,False,False,False,,,Peach 58 | Apricot 20,FR 52 | QZ 26,,,,cpvoBreeder:78,CPVO: 2015-06-30 - Peach - VALVI - 17970 (cpvoBreeder) | CPVO: 2015-06-30 - Peach - VALVI - 17970.0 (FR) (cpvoBreeder) | CPVO: 2015-06-30 - Peach - VALVETTE - 17968 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
PRIChKO TAT'YaNA Grigor'Evna,breeder_only_signal,unverified,0,holder_verification_required,75,43,0,75,74,False,False,False,False,,,Apple 62 | Cherry-Sweet 6 | Kiwifruit 4 | Pear 2,RU 75,,,,cpvoBreeder:75,CPVO: 2020-02-18 - Apple - BAGRYaNETS KUBANI - 73081 (cpvoBreeder) | CPVO: 2019-12-26 - Apple - FEYa - 47916 (cpvoBreeder) | CPVO: 2019-12-26 - Apple - BAGRYaNETS KUBANI - 73080 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Kolesnikova Adelina Frolovna,breeder_only_signal,unverified,0,holder_verification_required,75,37,0,75,24,False,False,False,False,,,Cherry-Tart 35 | Prunus 16 | Plum 14 | Cherry-Sweet 8,RU 75,,,,cpvoBreeder:75,CPVO: 2017-06-01 - Cherry-Sweet - PODAROK ORLU - 69539 (cpvoBreeder) | CPVO: 2016-03-24 - Plum - KROMSKAYa - 69538 (cpvoBreeder) | CPVO: 2013-10-16 - Cherry-Tart - PUTINKA - 61136 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Gubin Evgenij NIKOLAEVICh,breeder_only_signal,unverified,0,holder_verification_required,74,44,0,74,74,False,False,False,False,,,Grape 44 | Strawberry 26 | Kiwifruit 4,RU 74,,,,cpvoBreeder:44,CPVO: 2011-03-14 - Grape - STREMENNOJ - 48640 (cpvoBreeder) | CPVO: 2011-01-19 - Grape - ZELENOLUGSKIJ RUBIN - 39705 (cpvoBreeder) | CPVO: 2011-01-19 - Grape - STREMENNOJ - 39706 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Kopan Volodymyr Pavlovych,breeder_only_signal,unverified,0,holder_verification_required,73,30,0,73,70,False,False,False,False,,,Apple 33 | Strawberry 27 | Grape 7 | Pear 3,UA 73,,,,cpvoBreeder:66,CPVO: 2021-04-07 - Apple - Solomiia - 20263001 (cpvoBreeder) | CPVO: 2021-03-23 - Apple - Solomiia - 20263001 (cpvoBreeder) | CPVO: 2019-11-14 - Apple - Dozhnytsia - 18263001 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Thomas O. Chamberlin,breeder_only_signal,unverified,0,holder_verification_required,67,37,0,67,52,False,False,False,False,,,Plum 27 | Peach 24 | Prunus 15 | Nectarine 1,US 24 | QZ 15 | IT 14 | FR 11,,,,cpvoBreeder:14,CPVO: 2015-04-23 - Plum - OCTOBER SUN - 14647.0 (FR) (cpvoBreeder) | CPVO: 2015-04-23 - Plum - OCTOBER SUN - 14647 (cpvoBreeder) | CPVO: 1997-10-15 - Peach - SEPTEMBER SUN - 10989 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
John H. Weinberger,breeder_only_signal,unverified,0,holder_verification_required,63,37,0,63,62,False,False,False,False,,,Plum 28 | Peach 17 | Nectarine 8 | Apple 3,US 26 | IL 23 | IT 7 | FR 6,,,,cpvoBreeder:6,CPVO: 1991-07-22 - Plum - SUPLUMTWELVE - 4130 (cpvoBreeder) | CPVO: 1991-07-22 - Plum - SUPLUMTHIRTEEN - 4175 (cpvoBreeder) | CPVO: 1991-07-22 - Plum - SUPLUMELEVEN - 4129 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Anna M. Voordeckers,breeder_only_signal,unverified,0,holder_verification_required,61,22,0,61,61,False,False,False,False,,,Peach 32 | Strawberry 10 | Apricot 9 | Nectarine 6,US 56 | QZ 3 | NZ 2,,,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP35394,breeder:10 | inventor:10 | cpvoBreeder:3,"USPTO: 2023-09-26 - Peach - NJ362 - USPP 35,394 (breeder, inventor) | USPTO: 2021-10-12 - Apple - NJ150 - USPP 33,546 (breeder, inventor) | USPTO: 2021-09-14 - Peach - NJ360 - USPP 33,473 (breeder, inventor)",protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Jorge Rodriguez Alcazar,breeder_only_signal,unverified,0,holder_verification_required,55,54,0,55,47,False,False,False,False,,,Strawberry 27 | Blackberry 11 | Blueberry 9 | Rubus 6,MX 27 | NZ 10 | QZ 9 | UA 4,,,,cpvoBreeder:43,CPVO: 2022-12-08 - Blueberry - Drisbluethirteen - BLU045 (cpvoBreeder) | CPVO: 2022-03-07 - Blackberry - Drisblackseventeen - 20182022 (cpvoBreeder) | CPVO: 2021-01-18 - Strawberry - Drisstrawsixtyone - 20182149 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Kitayama Hiroshi,breeder_only_signal,unverified,0,holder_verification_required,55,55,0,55,55,False,False,False,False,,,Strawberry 19 | Apple 19 | Plum 5 | Peach 4,JP 49 | KR 6,,,,cpvoBreeder:17,CPVO: 2018-05-30 - Apple - BENIHATSUMI - 30927 (cpvoBreeder) | CPVO: 2017-03-29 - Apple - Shunmei 21 - 102009000220 (cpvoBreeder) | CPVO: 2016-06-09 - Apple - Chiyuki - 102009000219 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Mikeal L. Roose,breeder_only_signal,unverified,0,holder_verification_required,54,36,0,54,54,False,False,False,False,,,Citrus 52 | Apple 1 | Almond 1,QZ 10 | US 10 | NZ 5 | CO 5,,,,cpvoBreeder:27,CPVO: 2023-07-17 - Citrus - Fairchild LS - 20152483 (cpvoBreeder) | CPVO: 2021-04-19 - Citrus - Kinnowls - 20152484 (cpvoBreeder) | CPVO: 2021-04-06 - Citrus - Sweet Daisy - 20151979 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
