ownerName,candidateParent,candidateParentBasis,candidateParentEvidenceUrl,dataConfidenceTier,dataConfidenceScore,actionabilityGate,auditPriority,recordCount,legalOwnerRecordCount,breederSignalRecordCount,topCrops,topJurisdictions,rawEvidenceRoles,rawEvidenceExamples,recommendedNextStep
Marionnet S.A.S,,,,unverified,0,holder_verification_required,critical,89,0,89,Raspberry 28 | Strawberry 20 | Avocado 10 | Nectarine 6,QZ 46 | US 31 | CA 6 | AU 3,cpvoBreeder:42,CPVO: 2025-05-19 - Strawberry - MARIONNET 109 - 20211153 (cpvoBreeder) | CPVO: 2025-05-19 - Strawberry - MAR 109 - 20211153 (cpvoBreeder) | CPVO: 2024-04-08 - Blackberry - MARIONNET 901 - 20201724 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Lietuvos agrarinių ir miškų mokslų centro filialas Sodininkystės ir daržininkystės institutas,,,,unverified,0,holder_verification_required,critical,88,0,88,Apple 25 | Currant-Black 13 | Plum 13 | Strawberry 12,LT 88,cpvoBreeder:88,CPVO: 2024-12-11 - Currant-Black - Gausiai - SA-2515 (cpvoBreeder) | CPVO: 2016-02-11 - Strawberry - Redita - SA-224 (cpvoBreeder) | CPVO: 2016-02-11 - Strawberry - Meda - SA-223 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Spiegel-Roi Pinchas,,,,unverified,0,holder_verification_required,critical,86,0,86,Grape 32 | Citrus 31 | Almond 22 | Apricot 1,IL 66 | US 15 | QZ 4 | DE 1,cpvoBreeder:66,CPVO: 2012-02-06 - Almond - SHEFA - 3968 (cpvoBreeder) | CPVO: 2005-06-26 - Almond - LEVAD - 3347 (cpvoBreeder) | CPVO: 2005-06-26 - Almond - KOGIL-PAT - 3346 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Victor Voth,,,,unverified,0,holder_verification_required,critical,83,0,83,Strawberry 83,US 32 | IT 20 | QZ 7 | DE 7,cpvoBreeder:72,CPVO: 2005-10-03 - Strawberry - Denomination not available - JO200506 (cpvoBreeder) | CPVO: 2005-04-03 - Strawberry - CAMAROSA - 218060015392003 (cpvoBreeder) | CPVO: 2003-09-22 - Strawberry - CAMAROSA - 60 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Mahno LYuBOV' Vasil'Evna,,,,unverified,0,holder_verification_required,critical,80,0,80,Apple 46 | Grape 11 | Cherry-Tart 9 | Pear 7,RU 80,cpvoBreeder:30,CPVO: 2019-12-26 - Apple - FEYa - 47916 (cpvoBreeder) | CPVO: 2019-08-08 - Apple - SOYuZ - 78519 (cpvoBreeder) | CPVO: 2019-03-06 - Apple - SOYuZ - 51249 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Grant Merrill,,,,unverified,0,holder_verification_required,critical,80,0,80,Peach 70 | Nectarine 7 | Apple 3,US 61 | ES 7 | UY 6 | IT 3,cpvoBreeder:32,CPVO: 2010-10-20 - Peach - MERCIL - RVC19130015 (ES)_PRUNU_PER_MERCIL (cpvoBreeder) | CPVO: 2010-10-20 - Peach - MERCIL - 19130015 (cpvoBreeder) | CPVO: 2009-04-29 - Peach - SPRING LADY - 2009095 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Kostrikin Ivan ALEKSANDROVICh,,,,unverified,0,holder_verification_required,critical,80,0,80,Grape 52 | Apple 15 | Plum 7 | Pear 6,RU 80,cpvoBreeder:48,CPVO: 2019-05-06 - Grape - E'L'F - 74721 (cpvoBreeder) | CPVO: 2019-03-05 - Grape - E'L'F - 44848 (cpvoBreeder) | CPVO: 2018-11-12 - Grape - VANYuShA - 69351 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Mazunin Mihail ALEKSANDROVICh,,,,unverified,0,holder_verification_required,critical,80,0,80,Apple 35 | Grape 22 | Plum 15 | Pear 6,RU 80,cpvoBreeder:35,CPVO: 2017-05-30 - Apple - ZIMNEE - 54008 (cpvoBreeder) | CPVO: 2017-01-19 - Apple - ORENBURGSKOE POZDNEE - 59066 (cpvoBreeder) | CPVO: 2012-01-24 - Apple - TRUDOVOE - 52198 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
JUNTA DE EXTREMADURA - FINCA LA ORDEN-VALDESEQUERA,,,,unverified,0,holder_verification_required,high,80,0,80,Papaya 80,QZ 80,cpvoBreeder:80,CPVO: 2011-10-31 - Papaya - ZUGUELE - RVC13200034 (ES) (cpvoBreeder) | CPVO: 2011-10-31 - Papaya - WHITE GENOA - RVC13200047 (ES) (cpvoBreeder) | CPVO: 2011-10-31 - Papaya - VERDEJUELA - RVC13200033 (ES) (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Pepinieres Valla Georges Scea,,,,unverified,0,holder_verification_required,critical,78,0,78,Peach 58 | Apricot 20,FR 52 | QZ 26,cpvoBreeder:78,CPVO: 2015-06-30 - Peach - VALVI - 17970 (cpvoBreeder) | CPVO: 2015-06-30 - Peach - VALVI - 17970.0 (FR) (cpvoBreeder) | CPVO: 2015-06-30 - Peach - VALVETTE - 17968 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Raffaele Testolin,,,,unverified,0,holder_verification_required,critical,77,0,77,Grape 53 | Kiwifruit 24,QZ 31 | US 24 | BR 12 | CA 6,cpvoBreeder:66,CPVO: 2026-05-26 - Kiwifruit - AC 459 011 - 2553 (cpvoBreeder) | CPVO: 2026-03-10 - Kiwifruit - AC 497 076 - 218060000902026 (cpvoBreeder) | CPVO: 2026-02-27 - Kiwifruit - AC 501 022 - 218060000802026 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Majstrenko LYuDMILA Alekseevna,,,,unverified,0,holder_verification_required,critical,76,0,76,Grape 67 | Currant 5 | Apricot 2 | Cherry-Sweet 1,RU 76,cpvoBreeder:67,CPVO: 2020-05-28 - Grape - PRESTIZh - 67300 (cpvoBreeder) | CPVO: 2020-05-21 - Grape - VOSTOChNYJ - 61213 (cpvoBreeder) | CPVO: 2020-05-21 - Grape - LEDYaNOJ - 66192 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Sakurai Shigetaka,,,,unverified,0,holder_verification_required,critical,76,0,76,Blueberry 36 | Apple 31 | Plum 8 | Pear 1,JP 55 | QZ 9 | KR 5 | US 4,cpvoBreeder:64,CPVO: 2024-01-22 - Blueberry - RYOKU NH-13 - 102017000431 (cpvoBreeder) | CPVO: 2024-01-22 - Blueberry - RYOKU NH-12 - 102017000430 (cpvoBreeder) | CPVO: 2024-01-22 - Blueberry - RYOKU NH-11 - 102017000432 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Savel'Ev Nikolaj IVANOVICh,,,,unverified,0,holder_verification_required,critical,76,0,76,Apple 33 | Pear 19 | Cherry-Tart 9 | Kiwifruit 3,RU 76,cpvoBreeder:40,CPVO: 2020-03-03 - Apple - MUNSTER - 77918 (cpvoBreeder) | CPVO: 2019-12-26 - Apple - MUNSTER - 74762 (cpvoBreeder) | CPVO: 2019-06-25 - Apple - PAMYaTI NESTEROVA - 69831 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Guido Cipriani,,,,unverified,0,holder_verification_required,critical,75,0,75,Grape 53 | Kiwifruit 22,QZ 31 | US 23 | BR 12 | CA 6,cpvoBreeder:64,CPVO: 2026-05-26 - Kiwifruit - AC 459 011 - 2553 (cpvoBreeder) | CPVO: 2026-03-10 - Kiwifruit - AC 497 076 - 218060000902026 (cpvoBreeder) | CPVO: 2026-02-27 - Kiwifruit - AC 501 022 - 218060000802026 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Jose Martin Charlez Martinez,,,,unverified,0,holder_verification_required,critical,75,0,75,Peach 69 | Apricot 4 | Plum 2,ES 69 | QZ 6,cpvoBreeder:67,CPVO: 2019-07-27 - Peach - NETIX 28 - 20145133 (cpvoBreeder) | CPVO: 2019-07-27 - Peach - HIT69 - 20145133 (cpvoBreeder) | CPVO: 2019-02-05 - Peach - VIFNB 1 64 - 20145132 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
PRIChKO TAT'YaNA Grigor'Evna,,,,unverified,0,holder_verification_required,critical,75,0,75,Apple 62 | Cherry-Sweet 6 | Kiwifruit 4 | Pear 2,RU 75,cpvoBreeder:75,CPVO: 2020-02-18 - Apple - BAGRYaNETS KUBANI - 73081 (cpvoBreeder) | CPVO: 2019-12-26 - Apple - FEYa - 47916 (cpvoBreeder) | CPVO: 2019-12-26 - Apple - BAGRYaNETS KUBANI - 73080 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Kolesnikova Adelina Frolovna,,,,unverified,0,holder_verification_required,critical,75,0,75,Cherry-Tart 35 | Prunus 16 | Plum 14 | Cherry-Sweet 8,RU 75,cpvoBreeder:75,CPVO: 2017-06-01 - Cherry-Sweet - PODAROK ORLU - 69539 (cpvoBreeder) | CPVO: 2016-03-24 - Plum - KROMSKAYa - 69538 (cpvoBreeder) | CPVO: 2013-10-16 - Cherry-Tart - PUTINKA - 61136 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Clark John Reuben,,,,unverified,0,holder_verification_required,critical,74,0,74,Rubus 31 | Grape 14 | Blackberry 13 | Peach 13,US 62 | CA 4 | RU 4 | IL 2,cpvoBreeder:75,CPVO: 2023-11-22 - Blackberry - Ponca - 23-11537 (cpvoBreeder) | CPVO: 2023-11-22 - Blackberry - Caddo - 23-11536 (cpvoBreeder) | CPVO: 2023-11-21 - Blackberry - APF 409T - 23-11535 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Gubin Evgenij NIKOLAEVICh,,,,unverified,0,holder_verification_required,critical,74,0,74,Grape 44 | Strawberry 26 | Kiwifruit 4,RU 74,cpvoBreeder:44,CPVO: 2011-03-14 - Grape - STREMENNOJ - 48640 (cpvoBreeder) | CPVO: 2011-01-19 - Grape - ZELENOLUGSKIJ RUBIN - 39705 (cpvoBreeder) | CPVO: 2011-01-19 - Grape - STREMENNOJ - 39706 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
José María Gómez Porras,,,,unverified,0,holder_verification_required,critical,73,0,73,Olive 73,QZ 46 | US 19 | BR 8,cpvoBreeder:46,CPVO: 2026-03-02 - Olive - I-26 - 20232676 (cpvoBreeder) | CPVO: 2026-03-02 - Olive - I 26 - 20232676 (cpvoBreeder) | CPVO: 2025-09-01 - Olive - I50 - 20202345 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Joseph C. Goffreda,,,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP35394,unverified,0,holder_verification_required,critical,71,0,71,Peach 33 | Apricot 16 | Apple 11 | Nectarine 7,US 60 | QZ 4 | NZ 2 | FR 2,breeder:11 | inventor:11,"USPTO: 2023-09-26 - Peach - NJ362 - USPP 35,394 (breeder, inventor) | USPTO: 2021-10-12 - Apple - NJ150 - USPP 33,546 (breeder, inventor) | USPTO: 2021-09-14 - Peach - NJ360 - USPP 33,473 (breeder, inventor)",Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Popova Irina Vasil'Evna,,,,unverified,0,holder_verification_required,critical,71,0,71,Strawberry 31 | Apricot 21 | Gooseberry 14 | Plum 5,RU 71,cpvoBreeder:42,CPVO: 2019-03-06 - Gooseberry - BITTSEVSKIJ - 40654 (cpvoBreeder) | CPVO: 2018-02-27 - Gooseberry - ARGUMENT - 50103 (cpvoBreeder) | CPVO: 2018-02-13 - Gooseberry - OChAROVANIE - 39340 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
David C. Smith,,,,unverified,0,holder_verification_required,critical,70,0,70,Hazelnut 27 | Peach 13 | Strawberry 11 | Raspberry 7,US 31 | ES 16 | QZ 13 | IT 4,cpvoBreeder:33,CPVO: 2026-03-02 - Hazelnut - Felix - 20180206 (cpvoBreeder) | CPVO: 2025-12-10 - Hazelnut - THETA - 20200084 (cpvoBreeder) | CPVO: 2025-12-10 - Hazelnut - JEFFERSON - 20200082 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
ZhDANOV Vladilen VASIL'EVICh,,,,unverified,0,holder_verification_required,critical,70,0,70,Apple 66 | Cherry-Tart 3 | Cherry-Sweet 1,RU 70,cpvoBreeder:66,CPVO: 2019-08-08 - Apple - SOYuZ - 78519 (cpvoBreeder) | CPVO: 2019-03-06 - Apple - SOYuZ - 51249 (cpvoBreeder) | CPVO: 2019-03-06 - Apple - ORFEJ - 56478 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
