breederName,companyName,relationshipType,identityConfidence,relationshipConfidence,status,patentAssigneeCount,coListedEntityCount,cultivarMatchCount,directEvidenceCount,directEvidenceShare,rightsBasis,basis,source
A.Ripa,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A.Sasnauskas,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A.Schneider,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A.Viksne,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
"A/Grillet, E. Masseron",,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Aaron Surabian,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Abad Fetel,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
ABAR'YaNTS Gennadij GERASIMOVICh,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Abdeeva Mahmuda Gazzalievna,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Abdulgamidov Magomed DADAGADZhIEVICh,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
ABDYuKOVA Nurdida GALIMZYaNOVNA,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Abe Kaoru,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Abe Kazushi,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Abe Kazuyuki,Yamagata Prefecture Fruit Breeding,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Abe Masaaki,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Abe Sadaaki,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Abe Shizuo,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Abe Tamayo,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Abe Tomoko,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Abe Yoshiyuki,Yamagata Prefecture Fruit Breeding,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Abe Yukihiro,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Abellan Antonio Bernabe,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Abelmon Da Silva Gesteira,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Abhaya Dandekar,University of California,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Abiko Yuki,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Abil'Fazova YuLIYa Sulevna,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Abliazova Aia Pavlivna,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
ABLYaZOVA AYa Pavlovna,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Abramov YuRIJ ShABATAEVICh,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Abramova LYuDMILA Zakoevna,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Acelino Couto Alfenas,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Achim Gheorghebotu Mihaibotu Ion,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Acosta Alcides,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Adachi Eisuke,Yamagata Prefecture Fruit Breeding,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Adachi Motomitsu,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Adam Kuźniar,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Adam L. Boches,Fall Creek Farm & Nursery,breeding-program association,medium,low,review_required,0,0,2,0,0.0,none,2 same-cultivar records,record-derived affiliation graph
Adam L. Brazelton,Fall Creek Farm & Nursery,breeding-program association,medium,low,review_required,0,0,6,0,0.0,none,6 same-cultivar records,record-derived affiliation graph
Adam L. Wagner,Fall Creek Farm & Nursery,breeding-program association,medium,high,probable_relationship,0,7,34,7,1.0,none,7 co-listed breeder/entity records; 34 same-cultivar records,record-derived affiliation graph
Adam Piekło,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Adams Kenneth,Regal Fruit International LLC,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Adelson Francisco De Oliveira,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Adilson Jose Pereira,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Adolph Reinero,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Adrian G. Kalle,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Adrian Straver,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Adrianus Jan van Bergeijk,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Adrián Martínez Cutillas,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Aebischer C. Roduit,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Aeppli Alfred,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Agafonov Nikolaj VASIL'EVICh,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Agahanov Al'Bert HALIDOVICh,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Agapkina Svetlana Fedorovna,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Agapova Sabina Iosifovna,RESPUBLIKANSKOE NAUCHNO-PROIZVODSTVENNOE DOCHERNEE UNITARNOE PREDPRITIE «INSTITUT PLODOVODSTVA»,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Ageeva Nina Grigor'Evna,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Agenor Firmino Zilli,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Agostino Tombesi,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Agri Obtentions,INRAE,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Agri-Food,Agriculture and Agri-Food Canada,breeding-program association,high,low,review_required,0,0,2,0,0.0,none,2 same-cultivar records,record-derived affiliation graph
Agricola Bagu,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Agricultural Coop. /Joseph Thor,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Agriculture Canada,Agriculture and Agri-Food Canada,breeding-program association,high,low,review_required,0,0,2,0,0.0,none,2 same-cultivar records,record-derived affiliation graph
Agro Soil de México,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Agromillora Catalana,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Agromillora Catalina,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Agromillora Iberia,Agromillora Iberia S.A.,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Agroproducto Diazteca,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Agroscope Changins Wadenswil,Agroscope Changins-Wadenswil Research Station ACW,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Agroscope Christen Danilo,Agroscope Changins-Wadenswil Research Station ACW,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Agrícola Ruiz Valero,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Agrícola San José Limitada,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Agrícola San José Ltda.,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Aguilar Moran Juan Femando,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Aguilar Moran Juan Fernando,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Agustin M. Renteria,Driscoll's,breeding-program association,medium,low,review_required,0,0,6,0,0.0,none,6 same-cultivar records,record-derived affiliation graph
Agustín López Santamaría,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Ah-Rim Lee,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Aheieva Nina Hryhorivna,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Ahmatova Zulajha PAShAEVNA,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Ahn Eung-sik,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Ahn Jang-geun,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Ahrang Kang,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
"Ahrensburg, Hongarije Sengana Erdbeerhof",,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Ahronomichnyi Nats. Doslidnyts`kyiinstytut Frantsi,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Ahuva Frydman-Shani,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Aichun Xu,"INSTITUTE OF FRUIT AND TEA, HUBEI ACADEMY OF AGRICULTURAL SCIENCE",breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Aikawa Ryohei,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Aili Kivistik,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Aime Lambertin,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Aivazian Petros Karapetovych,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Aizawa Masaki,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Aizu Tetsuyuki,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
AJTZhANOVA Svetlana Dmitrievna,RESPUBLIKANSKOE NAUCHNO-PROIZVODSTVENNOE DOCHERNEE UNITARNOE PREDPRITIE «INSTITUT PLODOVODSTVA»,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
AJVAZYaN Petros KARAPETOVICh,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Aka Kiyohiro,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Akabane Fumio,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Akagi Hiroshi,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Akagi Shizuka,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Akai Hiroko,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Akaike Fumiyoshi,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Akaike Kazuhiko,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Akama Nobuo,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Akasaka Shinji,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Akashi Yoshika,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Akazawa Kenzo,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Akazawa Toru,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Akiba Miho,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Akide Ozcan,"Kahramanmaras Sutcu Imam University, Kahramanmaras, Turkey",breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Akimov Mihail YuR'EVICh,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Akira Kitajima,HIROSHIMA Prefecture KYOTO University,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Akiyama Minoru,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Akos Mendel,"Hungarian University of Agriculture and Life Sciences, Research Station of Cegléd",breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Akulenko Elena Georgievna,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Alain Cadic,INRAE,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Alain Falaschi,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Alain Falaschi /Inconnu,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Alain Masseron,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Alamo Antonio Abad,Royal Berries / Hortifrut,breeding-program association,high,low,review_required,0,0,3,0,0.0,none,3 same-cultivar records,record-derived affiliation graph
Alamo Bermudo,Fall Creek Farm & Nursery,breeding-program association,high,low,review_required,0,0,2,0,0.0,none,2 same-cultivar records,record-derived affiliation graph
Alan C. Tenscher,University of California,breeding-program association,medium,low,review_required,0,0,5,0,0.0,none,5 same-cultivar records,record-derived affiliation graph
Alan D. Ewen,COT International S.A.R.L.,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Alan G. Otterbacher,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Alan R. Asdoorian,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Alan R. Putnam,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Alan Seal,Plant & Food Research,breeding-program association,high,low,review_required,0,1,0,1,1.0,none,1 co-listed breeder/entity records,record-derived affiliation graph
Alaniz Luis,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Alba E. Wimer,"Smith, Earl",breeding-program association,medium,low,review_required,0,1,0,1,1.0,none,1 co-listed breeder/entity records,record-derived affiliation graph
Albert A. Boos,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Albert Aspeslagh,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Albert B. Cook,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Albert E. Henninger,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Albert F. Etter,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Albert H. Michaelian,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Albert Hund,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Albert Hund Beerenobst,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Albert J. Porter,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Albert Konings Koningsplant,VISSERS AARDBEI PLANTEN B.V.,breeding-program association,high,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
Albert Richard,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
Albert T. Koyama,University of California,breeding-program association,medium,low,review_required,0,0,4,0,0.0,none,4 same-cultivar records,record-derived affiliation graph
Albert Voght,,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
